instance,0,1,2,3,4
30n20b8,0.0,58.5716,0.0,0.0,0.0
50v-10,9.07676,11.2036,8.81615,9.34629,11.2411
CMS750_4,1.18577,2.72374,2.34375,53.7037,0.793651
